Age Groups,فئات السن,Highest Educational Level, أعلى مؤهل علمي ,Nationality,الجنسية,Sex,الجنس,Population
45 - 49,45 - 49,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,1015
55 - 59,55 - 59,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,494
65 Years & Above,65 سنة فأكثر,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,260
15 - 19,15 - 19,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,0
20 - 24,20 - 24,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,2
45 - 49,45 - 49,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,174
20 - 24,20 - 24,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,350
30 - 34,30 - 34,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,700
35 - 39,35 - 39,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,584
45 - 49,45 - 49,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,120
65 Years & Above,65 سنة فأكثر,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,285
20 - 24,20 - 24,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,2447
30 - 34,30 - 34,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,3198
40 - 44,40 - 44,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,1083
50 - 54,50 - 54,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,155
15 - 19,15 - 19,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,306
20 - 24,20 - 24,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,622
25 - 29,25 - 29,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,2021
30 - 34,30 - 34,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,3963
60 - 64,60 - 64,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,421
35 - 39,35 - 39,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,4604
40 - 44,40 - 44,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,3233
45 - 49,45 - 49,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,1800
65 Years & Above,65 سنة فأكثر,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,56
20 - 24,20 - 24,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,3837
55 - 59,55 - 59,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,1869
20 - 24,20 - 24,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,729
30 - 34,30 - 34,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,2979
50 - 54,50 - 54,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,911
15 - 19,15 - 19,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,0
30 - 34,30 - 34,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,5505
35 - 39,35 - 39,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,5243
65 Years & Above,65 سنة فأكثر,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,227
15 - 19,15 - 19,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,0
25 - 29,25 - 29,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,816
50 - 54,50 - 54,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,296
20 - 24,20 - 24,Masters,ماجستير,Non-Bahraini,غير بحريني,Female,أنثى,23
25 - 29,25 - 29,Masters,ماجستير,Non-Bahraini,غير بحريني,Female,أنثى,322
30 - 34,30 - 34,Masters,ماجستير,Non-Bahraini,غير بحريني,Female,أنثى,522
55 - 59,55 - 59,Masters,ماجستير,Non-Bahraini,غير بحريني,Female,أنثى,92
60 - 64,60 - 64,Masters,ماجستير,Non-Bahraini,غير بحريني,Female,أنثى,53
45 - 49,45 - 49,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Female,أنثى,44
50 - 54,50 - 54,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Female,أنثى,35
65 Years & Above,65 سنة فأكثر,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Female,أنثى,11
